,train_loss,train_accuracy,test_loss,test_accuracy
0,0.8926857078944882,0.6850407869481766,0.9559821686424768,0.6687300319488818
1,0.8886704828711709,0.6880598208573256,0.9597535799867429,0.6669329073482428
2,0.8866124327603777,0.6900591810620601,0.9714039345137989,0.6658346645367412
3,0.8798780437661377,0.6911988163787588,0.9991810218975566,0.6531549520766773
4,0.8803385719418602,0.6914587332053743,0.95028193585408,0.6704273162939297
5,0.8734489382266694,0.6934181062060141,0.9574511259222944,0.6695287539936102
6,0.8719092934503818,0.6939779270633397,0.9417906848196024,0.6741214057507987
7,0.8696597330248363,0.6942978246960972,0.9487193267280682,0.6699281150159745
8,0.8657379543941447,0.6962372040946897,0.9876172408318749,0.6589456869009584
9,0.8601227988818481,0.6987563979526551,0.9574725003764272,0.6715255591054313
